Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Asia,Lao PDR,0.00,5317060,2000,"[('United States', '213399'), ('Thailand', '46108'), ('Germany', '34298')]","[('Vietnam', '13401'), ('China', '3991'), ('Thailand', '2203')]"
Europe,Latvia,0.17,2372985,2000,"[('Russian Federation', '102518'), ('United States', '69779'), ('Germany', '56469')]","[('Russian Federation', '238521'), ('Belarus', '79328'), ('Ukraine', '53535')]"
Middle East,Lebanon,0.20,3742329,2000,"[('United States', '113215'), ('Kuwait', '76410'), ('Australia', '70359')]","[('Egypt, Arab Rep.', '37538'), ('India', '35326'), ('Afghanistan', '23718')]"
Africa,Lesotho,0.01,1963878,2000,"[('South Africa', '114095'), ('Malawi', '30454'), ('Mozambique', '19502')]","[('South Africa', '3140'), ('Australia', '913'), ('New Zealand', '354')]"
Africa,Liberia,0.00,2847290,2000,"[('Guinea', '117820'), (""Cote d'Ivoire"", '44023'), ('United States', '42949')]","[('Guinea', '40011'), ('Ghana', '12790'), ('Sierra Leone', '9774')]"
Africa,Libya,0.01,5231189,2000,"[('United States', '35552'), ('Israel', '21830'), ('Sudan', '18928')]","[('Egypt, Arab Rep.', '318394'), ('Tunisia', '67943'), ('West Bank and Gaza', '45111')]"
Europe,Liechtenstein,0.30,32853,2000,"[('Germany', '1756'), ('Switzerland', '1713'), ('Austria', '515')]","[('Switzerland', '4097'), ('Austria', '2132'), ('Germany', '1077')]"
Europe,Lithuania,0.15,3499536,2000,"[('Germany', '126069'), ('Russian Federation', '86199'), ('Poland', '85576')]","[('Russian Federation', '95737'), ('Belarus', '56314'), ('Ukraine', '20225')]"
Europe,Luxembourg,0.70,436300,2000,"[('Germany', '6075'), ('Belgium', '4448'), ('Portugal', '3477')]","[('Portugal', '41352'), ('France', '18733'), ('Belgium', '14687')]"
Asia,"Macao SAR, China",0.33,431867,2000,"[('Hong Kong SAR, China', '69229'), ('Canada', '6680'), ('China', '6005')]","[('China', '203877'), ('Hong Kong SAR, China', '14212'), ('Korea, Dem. Rep.', '10084')]"
Europe,"Macedonia, FYR",0.06,2009091,2000,"[('Switzerland', '58224'), ('Germany', '54994'), ('Italy', '44657')]","[('Greece', '18800'), ('Germany', '14480'), ('Poland', '8269')]"
Africa,Madagascar,0.00,15364272,2000,"[('United Kingdom', '31476'), ('Comoros', '11403'), ('United States', '3522')]","[('France', '13633'), ('Comoros', '7378'), ('India', '5878')]"
Africa,Malawi,0.00,11228756,2000,"[('Zimbabwe', '142229'), ('South Africa', '26143'), ('Zambia', '15551')]","[('Mozambique', '110451'), ('Zimbabwe', '57580'), ('Lesotho', '30454')]"
Asia,Malaysia,0.22,23414909,2000,"[('Singapore', '725607'), ('Australia', '77737'), ('Hong Kong SAR, China', '70681')]","[('Indonesia', '885328'), ('Philippines', '175740'), ('Bangladesh', '77856')]"
Asia,Maldives,0.03,273236,2000,"[('India', '240'), ('Australia', '170'), ('New Zealand', '38')]","[('Bangladesh', '1664'), ('Pakistan', '592'), ('Nepal', '285')]"
Africa,Mali,0.00,11295324,2000,"[(""Cote d'Ivoire"", '444425'), ('Nigeria', '90128'), ('Burkina Faso', '64438')]","[(""Cote d'Ivoire"", '74193'), ('Burkina Faso', '21397'), ('Guinea', '15563')]"
Europe,Malta,0.30,381363,2000,"[('Australia', '46557'), ('France', '9528'), ('Canada', '9255')]","[('United Kingdom', '4361'), ('Australia', '682'), ('Italy', '503')]"
Oceania,Marshall Islands,0.01,52145,2000,"[('United States', '5161'), ('Micronesia, Fed. Sts.', '311'), ('Northern Mariana Islands', '131')]","[('United Kingdom', '796'), ('New Zealand', '170'), ('Australia', '168')]"
Africa,Mauritania,0.01,2642743,2000,"[('Ghana', '28145'), ('Senegal', '22780'), ('Nigeria', '11938')]","[('Senegal', '40517'), ('Mali', '8043'), ('Guinea', '3262')]"
Africa,Mauritius,0.15,1186873,2000,"[('United Kingdom', '23919'), ('Australia', '16958'), ('Italy', '10572')]","[('China', '19986'), ('India', '8185'), ('France', '2479')]"
The Americas,Mexico,0.14,99959594,2000,"[('United States', '9367910'), ('Canada', '42939'), ('Russian Federation', '25104')]","[('United States', '350626'), ('Guatemala', '24148'), ('Spain', '21133')]"
Oceania,"Micronesia, Fed. Sts.",0.00,107103,2000,"[('Guam', '6994'), ('Northern Mariana Islands', '2218'), ('Philippines', '1768')]","[('Philippines', '647'), ('United States', '629'), ('China', '397')]"
Europe,Moldova,0.04,3639588,2000,"[('Russian Federation', '277527'), ('Ukraine', '165126'), ('Romania', '39157')]","[('Ukraine', '218596'), ('Russian Federation', '203909'), ('Kazakhstan', '17294')]"
Europe,Monaco,NA,35126,2000,"[('France', '1097'), ('Thailand', '325'), ('Germany', '222')]","[('France', '7135'), ('Poland', '2306'), ('Algeria', '1000')]"
Asia,Mongolia,0.06,2411369,2000,"[('Hungary', '1416'), ('Czech Republic', '572'), ('Switzerland', '329')]","[('Russian Federation', '3367'), ('China', '2442'), ('Kazakhstan', '646')]"
Europe,Montenegro,NA,632606,2000,"[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
Africa,Morocco,0.08,28793236,2000,"[('Italy', '286498'), ('France', '262462'), ('Spain', '253173')]","[('France', '24973'), ('Algeria', '13233'), ('Spain', '13040')]"
Africa,Mozambique,0.00,18200656,2000,"[('South Africa', '264572'), ('Malawi', '110451'), ('Zimbabwe', '95036')]","[('South Africa', '159113'), ('Zimbabwe', '46688'), ('Portugal', '35888')]"
Asia,Myanmar,0.00,44957660,2000,"[('Thailand', '171759'), ('India', '60627'), ('United States', '35623')]","[('China', '45384'), ('India', '35178'), ('Pakistan', '3501')]"
Africa,Namibia,0.04,1895839,2000,"[('South Africa', '44473'), ('Malawi', '8155'), ('Zambia', '2023')]","[('Angola', '52200'), ('South Africa', '27234'), ('Zambia', '9717')]"
Asia,Nepal,0.00,24400606,2000,"[('India', '649166'), ('Pakistan', '34515'), ('Thailand', '21350')]","[('India', '563571'), ('Pakistan', '15925'), ('Bhutan', '2362')]"
Europe,Netherlands,0.68,15925513,2000,"[('Canada', '115944'), ('Germany', '112253'), ('United States', '106397')]","[('Suriname', '178273'), ('Turkey', '176306'), ('Indonesia', '155137')]"
Oceania,New Caledonia,0.23,213230,2000,"[('France', '9450'), ('Reunion', '5596'), ('French Polynesia', '2934')]","[('France', '24944'), ('Wallis and Futuna', '7165'), ('Vanuatu', '4064')]"
Oceania,New Zealand,0.40,3857800,2000,"[('Australia', '350498'), ('United Kingdom', '60530'), ('United States', '26771')]","[('United Kingdom', '221729'), ('Australia', '56375'), ('Samoa', '46795')]"
The Americas,Nicaragua,0.02,5073704,2000,"[('United States', '229386'), ('Costa Rica', '226582'), ('Canada', '9279')]","[('Honduras', '10960'), ('Costa Rica', '5469'), ('United States', '3416')]"
Africa,Niger,0.00,10922421,2000,"[('Nigeria', '58115'), (""Cote d'Ivoire"", '57705'), ('Benin', '45137')]","[('Mali', '58083'), ('Burkina Faso', '27134'), ('Nigeria', '24758')]"
Africa,Nigeria,0.00,123688536,2000,"[('United States', '141571'), ('United Kingdom', '106221'), ('Cameroon', '72187')]","[('Benin', '157826'), ('Ghana', '123169'), ('Mali', '90128')]"
NA,Northern Mariana Islands,0.04,68432,2000,"[('United States', '7711'), ('Guam', '2186'), ('Palau', '214')]","[('Philippines', '15986'), ('China', '15754'), ('United States', '2269')]"
Europe,Norway,0.72,4490967,2000,"[('Sweden', '42012'), ('Germany', '41266'), ('United States', '38323')]","[('Sweden', '34109'), ('Denmark', '22173'), ('United States', '15273')]"
Middle East,Oman,0.07,2264163,2000,"[('United Arab Emirates', '116710'), ('West Bank and Gaza', '90518'), ('Kuwait', '39307')]","[('India', '312053'), ('Bangladesh', '102360'), ('Pakistan', '73001')]"
Asia,Pakistan,0.00,144522192,2000,"[('India', '1331659'), ('Saudi Arabia', '638606'), ('United Arab Emirates', '569556')]","[('India', '2512906'), ('Bangladesh', '48910'), ('Nepal', '34515')]"
NA,Palau,NA,19172,2000,"[('United States', '9066'), ('Philippines', '3135'), ('Thailand', '2274')]","[('Philippines', '2887'), ('China', '1040'), ('United States', '515')]"
The Americas,Panama,0.14,2956126,2000,"[('United States', '146882'), ('Costa Rica', '10279'), ('Canada', '2483')]","[('Colombia', '21845'), ('China', '9433'), ('Dominican Republic', '5962')]"
Oceania,Papua New Guinea,0.00,5378824,2000,"[('Australia', '23266'), ('United States', '9189'), ('Solomon Islands', '1573')]","[('Australia', '8463'), ('United Kingdom', '2504'), ('New Zealand', '1897')]"
The Americas,Paraguay,0.15,5343539,2000,"[('Argentina', '331688'), ('Brazil', '28828'), ('United States', '13715')]","[('Brazil', '82987'), ('Argentina', '64284'), ('Uruguay', '3305')]"
The Americas,Peru,0.05,25861887,2000,"[('United States', '285925'), ('Argentina', '91182'), ('Italy', '46851')]","[('United States', '4829'), ('Chile', '4033'), ('Argentina', '3586')]"
Asia,Philippines,0.08,77309965,2000,"[('United States', '1505820'), ('Saudi Arabia', '369850'), ('Canada', '233010')]","[('China', '125278'), ('United States', '36157'), ('United Kingdom', '32865')]"
Europe,Poland,0.18,38453757,2000,"[('Germany', '1999975'), ('France', '800387'), ('United States', '490599')]","[('Ukraine', '331462'), ('Belarus', '113204'), ('Germany', '108175')]"
Europe,Portugal,0.65,10225836,2000,"[('Brazil', '212917'), ('United States', '212370'), ('Canada', '151562')]","[('Angola', '167578'), ('France', '93565'), ('Mozambique', '74227')]"
The Americas,Puerto Rico,0.35,3810605,2000,"[('United States', '1455095'), ('Dominican Republic', '10690'), ('Russian Federation', '7564')]","[('United States', '243628'), ('France', '14326'), ('Haiti', '12809')]"
Middle East,Qatar,0.20,590957,2000,"[('Canada', '1083'), ('West Bank and Gaza', '1052'), ('Kuwait', '338')]","[('Egypt, Arab Rep.', '56093'), ('India', '52788'), ('Afghanistan', '35442')]"
Europe,Romania,0.11,22442971,2000,"[('Germany', '324085'), ('United States', '140085'), ('Israel', '139278')]","[('Moldova', '39157'), ('Bulgaria', '19786'), ('Ukraine', '15114')]"
Europe,Russian Federation,0.02,146303000,2000,"[('Ukraine', '3613240'), ('Kazakhstan', '1931909'), ('Germany', '978793')]","[('Ukraine', '3559975'), ('Kazakhstan', '2584955'), ('Belarus', '935782')]"
Africa,Rwanda,0.00,8098344,2000,"[('Uganda', '65400'), ('Sudan', '60380'), ('Burundi', '29159')]","[('Congo, Dem. Rep.', '288278'), ('Burundi', '34616'), ('Uganda', '16028')]"
Oceania,Samoa,0.01,176549,2000,"[('New Zealand', '46795'), ('American Samoa', '17777'), ('United States', '17467')]","[('American Samoa', '1920'), ('New Zealand', '1803'), ('United States', '444')]"
Europe,San Marino,0.54,26967,2000,"[('Italy', '3115'), ('Germany', '401'), ('Switzerland', '33')]","[('United States', '3730'), ('France', '1066'), ('Belgium', '799')]"
Africa,Sao Tome and Principe,0.00,141010,2000,"[('Portugal', '12267'), ('Angola', '5915'), ('Cape Verde', '3433')]","[('Cape Verde', '3607'), ('Angola', '940'), ('Portugal', '261')]"
Middle East,Saudi Arabia,0.07,20045276,2000,"[('West Bank and Gaza', '86899'), ('Kuwait', '33493'), ('United States', '27946')]","[('India', '1007649'), ('Egypt, Arab Rep.', '980205'), ('Pakistan', '638606')]"
Africa,Senegal,0.03,9505862,2000,"[('Gambia, The', '98366'), ('Italy', '49590'), ('Mauritania', '40517')]","[('Guinea', '74213'), ('Guinea-Bissau', '42094'), ('Mauritania', '22780')]"
Europe,Serbia,NA,7516346,2000,"[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
Africa,Seychelles,0.32,81131,2000,"[('United States', '2572'), ('Australia', '2438'), ('United Kingdom', '1434')]","[('India', '1650'), ('Sri Lanka', '924'), ('United Kingdom', '536')]"
Africa,Sierra Leone,0.00,4143115,2000,"[('Guinea', '97669'), ('United States', '22044'), ('Liberia', '9774')]","[('Guinea', '58908'), ('Liberia', '21026'), ('Gambia, The', '2386')]"
Asia,Singapore,0.68,4027900,2000,"[('Hong Kong SAR, China', '68886'), ('Malaysia', '65444'), ('United Kingdom', '40985')]","[('Malaysia', '725607'), ('China', '348383'), ('India', '105187')]"
The Americas,Sint Maarten (Dutch part),NA,30519,2000,[],[]
Europe,Slovak Republic,0.23,5388720,2000,"[('Czech Republic', '287874'), ('Germany', '118829'), ('France', '58839')]","[('Czech Republic', '74910'), ('Hungary', '17138'), ('Ukraine', '7468')]"
Europe,Slovenia,0.61,1988925,2000,"[('Croatia', '22177'), ('Germany', '21893'), ('Austria', '9722')]","[('Bosnia and Herzegovina', '69279'), ('Croatia', '48609'), ('Serbia and Montenegro', '26951')]"
Oceania,Solomon Islands,0.00,408732,2000,"[('Australia', '1307'), ('New Zealand', '497'), ('United States', '360')]","[('Papua New Guinea', '1573'), ('Kiribati', '1404'), ('Australia', '512')]"
Africa,Somalia,0.01,7399033,2000,"[('Ethiopia', '101938'), ('Djibouti', '41968'), ('United States', '36762')]","[('Uganda', '5474'), ('Sudan', '3197'), ('Congo, Dem. Rep.', '2561')]"
Africa,South Africa,0.19,44000000,2000,"[('Mozambique', '159113'), ('United Kingdom', '143298'), ('Australia', '79021')]","[('Mozambique', '264572'), ('Zimbabwe', '129558'), ('United Kingdom', '126343')]"
Africa,South Sudan,NA,6631346,2000,[],[]
Europe,Spain,0.60,40263216,2000,"[('France', '151566'), ('Argentina', '137084'), ('Germany', '133635')]","[('Morocco', '253173'), ('Ecuador', '176212'), ('Colombia', '140748')]"
Asia,Sri Lanka,0.02,19102000,2000,"[('India', '185572'), ('Saudi Arabia', '111001'), ('Canada', '89335')]","[('India', '384789'), ('Bangladesh', '3902'), ('Pakistan', '2310')]"
The Americas,St. Kitts and Nevis,0.03,44286,2000,"[('United States', '11101'), ('Virgin Islands (U.S.)', '7069'), ('Puerto Rico', '3007')]","[('United States', '815'), ('Guyana', '600'), ('Dominican Republic', '368')]"
The Americas,St. Lucia,0.02,155996,2000,"[('United States', '14151'), ('French Guiana', '12026'), ('Barbados', '3970')]","[('Guyana', '1547'), ('United States', '943'), ('Trinidad and Tobago', '632')]"
The Americas,St. Martin (French part),NA,28384,2000,[],[]
The Americas,St. Vincent and the Grenadines,0.02,107891,2000,"[('United States', '22249'), ('Canada', '8643'), ('Trinidad and Tobago', '8528')]","[('Trinidad and Tobago', '2138'), ('Guyana', '581'), ('United Kingdom', '554')]"
Africa,Sudan,0.00,27556383,2000,"[('Saudi Arabia', '198887'), ('Uganda', '149360'), ('Kenya', '48296')]","[('Rwanda', '60380'), ('Congo, Dem. Rep.', '53612'), ('Burundi', '51746')]"
The Americas,Suriname,0.09,466846,2000,"[('Netherlands', '178273'), ('France', '28022'), ('United Kingdom', '15444')]","[('Guyana', '7919'), ('Netherlands', '7360'), ('Brazil', '4917')]"
Africa,Swaziland,0.03,1010787,2000,"[('South Africa', '31891'), ('Malawi', '6994'), ('Mozambique', '3135')]","[('South Africa', '15404'), ('Mozambique', '14943'), ('Zimbabwe', '1025')]"
Europe,Sweden,0.72,8872109,2000,"[('United States', '55584'), ('Norway', '34109'), ('Finland', '28981')]","[('Finland', '193364'), ('Serbia and Montenegro', '71180'), ('Bosnia and Herzegovina', '50956')]"
Europe,Switzerland,0.65,7184250,2000,"[('United States', '51605'), ('Spain', '43159'), ('Germany', '38509')]","[('Italy', '336726'), ('Serbia and Montenegro', '223145'), ('Portugal', '148832')]"
Middle East,Syrian Arab Republic,0.00,15988534,2000,"[('Saudi Arabia', '105266'), ('Kuwait', '101634'), ('United States', '55753')]","[('West Bank and Gaza', '458611'), ('India', '10438'), ('Afghanistan', '9172')]"
Asia,Tajikistan,0.00,6172807,2000,"[('Russian Federation', '383057'), ('Uzbekistan', '68534'), ('Ukraine', '32386')]","[('Russian Federation', '176029'), ('Uzbekistan', '65152'), ('Ukraine', '32679')]"
Africa,Tanzania,0.00,34038161,2000,"[('Kenya', '61151'), ('Sudan', '28388'), ('Uganda', '25928')]","[('Burundi', '72272'), ('Mozambique', '44345'), ('Kenya', '31182')]"
Asia,Thailand,0.05,63155029,2000,"[('United States', '186520'), ('Taiwan, China', '143484'), ('Cambodia', '100363')]","[('China', '224153'), ('Myanmar', '171759'), ('Lao PDR', '46108')]"
Asia,Timor-Leste,NA,830089,2000,"[('Australia', '9250'), ('Portugal', '2442'), ('Philippines', '1648')]","[('Indonesia', '8334'), ('China', '245'), ('Philippines', '172')]"
Africa,Togo,0.01,4793504,2000,"[('Nigeria', '76914'), (""Cote d'Ivoire"", '42108'), ('Ghana', '40506')]","[('Benin', '64427'), ('Ghana', '28291'), ('Nigeria', '18989')]"
Oceania,Tonga,0.00,97935,2000,"[('New Zealand', '17817'), ('United States', '16694'), ('Australia', '7596')]","[('United Kingdom', '266'), ('Fiji', '203'), ('Samoa', '94')]"
The Americas,Trinidad and Tobago,0.13,1292058,2000,"[('United States', '207679'), ('Canada', '63625'), ('United Kingdom', '8078')]","[('Grenada', '11335'), ('St. Vincent and the Grenadines', '8528'), ('Guyana', '5355')]"
Africa,Tunisia,0.01,9563500,2000,"[('France', '310949'), ('Italy', '75808'), ('Libya', '67943')]","[('Algeria', '15846'), ('Morocco', '7165'), ('France', '3648')]"
Europe,Turkey,0.25,63627862,2000,"[('Germany', '2008979'), ('Austria', '179638'), ('Netherlands', '176306')]","[('Bulgaria', '480716'), ('Germany', '272995'), ('Serbia and Montenegro', '112537')]"
Asia,Turkmenistan,0.00,4501419,2000,"[('Russian Federation', '175252'), ('Uzbekistan', '42565'), ('Kazakhstan', '33227')]","[('Russian Federation', '128858'), ('Uzbekistan', '27020'), ('Ukraine', '24323')]"
The Americas,Turks and Caicos Islands,NA,18873,2000,"[('Bahamas, The', '2423'), ('Puerto Rico', '1240'), ('United States', '314')]","[('Haiti', '2718'), ('Bahamas, The', '940'), ('United States', '508')]"
NA,Tuvalu,0.00,9419,2000,"[('Kiribati', '1040'), ('New Zealand', '1005'), ('Naura', '520')]","[('United Kingdom', '75'), ('Australia', '40'), ('Fiji', '24')]"
Africa,Uganda,0.01,24213120,2000,"[('Kenya', '351083'), ('Sudan', '51331'), ('United Kingdom', '29745')]","[('Sudan', '149360'), ('Congo, Dem. Rep.', '86624'), ('Rwanda', '65400')]"
Europe,Ukraine,0.02,49175848,2000,"[('Russian Federation', '3559975'), ('United States', '444101'), ('Kazakhstan', '402671')]","[('Russian Federation', '3613240'), ('Belarus', '270751'), ('Kazakhstan', '245072')]"
Middle East,United Arab Emirates,0.47,3033491,2000,"[('West Bank and Gaza', '32202'), ('India', '14316'), ('Kuwait', '8991')]","[('India', '751142'), ('Pakistan', '569556'), ('Egypt, Arab Rep.', '133986')]"
Europe,United Kingdom,0.74,58892514,2000,"[('Australia', '1026553'), ('United States', '833858'), ('Canada', '606723')]","[('Ireland', '636751'), ('India', '524796'), ('Pakistan', '350867')]"
The Americas,United States,0.39,282162411,2000,"[('Mexico', '350626'), ('Canada', '270708'), ('Puerto Rico', '243628')]","[('Mexico', '9367910'), ('Philippines', '1505820'), ('Puerto Rico', '1455095')]"
The Americas,Uruguay,0.12,3300847,2000,"[('Argentina', '119169'), ('United States', '25507'), ('Brazil', '24756')]","[('Argentina', '25146'), ('Spain', '20682'), ('Brazil', '12950')]"
Asia,Uzbekistan,0.00,24650400,2000,"[('Russian Federation', '918037'), ('Ukraine', '242390'), ('Kazakhstan', '109989')]","[('Russian Federation', '746535'), ('Kazakhstan', '164799'), ('Ukraine', '162266')]"
Oceania,Vanuatu,0.00,185074,2000,"[('New Caledonia', '4064'), ('Australia', '888'), ('United States', '492')]","[('Australia', '243'), ('Samoa', '185'), ('France', '120')]"
The Americas,"Venezuela, RB",0.22,24311000,2000,"[('United States', '118195'), ('Spain', '54198'), ('Colombia', '37169')]","[('Colombia', '617744'), ('Spain', '77759'), ('Portugal', '54250')]"
Asia,Vietnam,0.01,77630900,2000,"[('United States', '1028454'), ('Australia', '152582'), ('Canada', '146343')]","[('Indonesia', '10529'), ('China', '8940'), ('Malaysia', '4813')]"
The Americas,Virgin Islands (U.S.),0.32,108639,2000,"[('United States', '78966'), ('Ghana', '4632'), ('Puerto Rico', '1454')]","[('United States', '15745'), ('St. Kitts and Nevis', '7069'), ('Dominica', '4919')]"
NA,West Bank and Gaza,0.00,3004150,2000,"[('Syrian Arab Republic', '458611'), ('Jordan', '104718'), ('Saudi Arabia', '90715')]","[('Israel', '479728'), ('Jordan', '269988'), ('Kuwait', '156362')]"
Middle East,"Yemen, Rep.",0.00,17723186,2000,"[('Saudi Arabia', '348060'), ('Kuwait', '57517'), ('United Arab Emirates', '55955')]","[('Iraq', '53675'), ('Azerbaijan', '41257'), ('Iran, Islamic Rep.', '38342')]"
Africa,Zambia,0.01,10201562,2000,"[('Zimbabwe', '45838'), ('South Africa', '23518'), ('Malawi', '17987')]","[('Zimbabwe', '31538'), ('Angola', '22777'), ('Congo, Dem. Rep.', '16601')]"
Africa,Zimbabwe,0.02,12509477,2000,"[('South Africa', '129558'), ('Malawi', '57580'), ('United Kingdom', '49791')]","[('Malawi', '142229'), ('Mozambique', '95036'), ('Zambia', '45838')]"
